Date,Event,Category,Description
1990-08-02,Iraq invasion of Kuwait,Conflict,"Iraq invaded Kuwait, creating uncertainty in global oil supply."
1991-01-17,Gulf War begins,Conflict,Military operations affected Middle East oil markets.
1997-07-02,Asian Financial Crisis,Economic,Financial crisis reduced economic growth expectations.
2001-09-11,September 11 attacks,Geopolitical,Global geopolitical uncertainty increased.
2003-03-20,Iraq War,Conflict,War increased concerns about oil supply.
2008-09-15,Global Financial Crisis,Economic,Financial crisis reduced global oil demand.
2011-01-01,Arab Spring,Political,Political instability affected oil-producing regions.
2014-11-27,OPEC maintains production levels,OPEC,OPEC maintained production levels causing price pressure.
2016-11-30,OPEC production cut agreement,OPEC,OPEC agreed to reduce production.
2020-03-09,Saudi-Russia oil price war,Market,Oil price war caused a sharp market decline.
2020-03-11,COVID-19 pandemic declaration,Economic,COVID-19 reduced transportation and oil demand.
2022-02-24,Russia invasion of Ukraine,Conflict,War increased global energy supply uncertainty.
